slice_id;status;issue;pr;updated_at
VS-000;VERIFIED;;#1;2026-07-26T15:39:30Z
VS-001;VERIFIED;#2;#3;2026-07-26T15:45:00Z
VS-002;VERIFIED;#4;#5;2026-07-26T16:00:00Z
VS-010;VERIFIED;#6;#7;2026-07-26T16:20:00Z
VS-011;VERIFIED;#8;#9;2026-07-26T16:36:00Z
VS-012;VERIFIED;#10;#11;2026-07-26T17:05:00Z
VS-013;VERIFIED;#12;#13;2026-07-26T17:31:00Z
VS-014;VERIFIED;#16;#17;2026-07-26T18:15:00Z
VS-015;VERIFIED;#18;#19;2026-07-26T18:38:00Z
VS-016;VERIFIED;#20;#21;2026-07-26T19:18:00Z
VS-020;VERIFIED;#22;#23;2026-07-26T19:45:00Z
VS-021;VERIFIED;#24;#25;2026-07-26T22:41:00Z
VS-022;VERIFIED;#26;#27;2026-07-26T23:18:00Z
VS-023;VERIFIED;#28;#29;2026-07-26T23:43:00Z
VS-024;VERIFIED;#30;#31;2026-07-27T08:20:00Z
VS-025;VERIFIED;#32;#33;2026-07-27T08:56:00Z
VS-026;VERIFIED;#34;#35;2026-07-27T10:57:00Z
VS-027;VERIFIED;#36;#37;2026-07-27T11:37:00Z
VS-028;VERIFIED;#38;#39;2026-07-27T13:18:00Z
VS-030;VERIFIED;#40;#41;2026-07-27T16:32:00Z
VS-031;VERIFIED;#42;#43;2026-07-27T17:22:00Z
VS-032;VERIFIED;#44,#48;#45,#49;2026-07-27T20:38:00Z
VS-033;VERIFIED;#46;#50;2026-07-27T21:31:00Z
VS-034;VERIFIED;#51;#52;2026-07-27T23:02:14Z
VS-035;VERIFIED;#53;#54;2026-07-28T07:50:43Z
